hidden_size,learning_rate,lambda_reg,batch_size,momentum,decay_rate,decay_steps,train_accuracy,test_accuracy,final_cost
96,0.15,0.02,96,0.88,0.95,50,95.42159898014934,71.08198549916341,1.3512539852935703
256,0.1,0.05,96,0.85,0.95,50,98.92187215443454,73.22922476296709,1.2900152105849307
384,0.15,0.02,128,0.85,0.95,50,97.43216171917683,71.24930284439486,0.7016212613919729
96,0.15,0.035,96,0.9,0.95,50,85.25223092332908,60.875627440044624,1.8783623186211411
256,0.15,0.02,128,0.88,0.95,50,96.17556000728464,66.18795315114333,1.0446210320941987
96,0.07,0.05,96,0.9,0.95,50,91.10180295028229,69.29726715002789,1.3916112685036646
192,0.15,0.05,96,0.85,0.95,50,95.93880896011655,73.41048522030117,1.3604078471975303
384,0.1,0.035,96,0.9,0.95,50,97.4940812238208,72.33686558839933,1.1047036929218204
384,0.12,0.02,96,0.88,0.95,50,99.01657257330176,70.99832682654768,0.8490359619781928
128,0.085,0.035,128,0.9,0.95,50,96.19012930249498,66.494701617401,1.0660848890139596
256,0.085,0.035,96,0.85,0.95,50,99.7122564195957,76.38036809815951,0.9575712005174527
192,0.1,0.02,96,0.9,0.95,50,96.91495173920963,69.46458449525934,1.0411036526665653
96,0.12,0.05,128,0.9,0.95,50,90.39154980877801,66.13218070273284,1.544894272271636
256,0.12,0.02,64,0.9,0.95,50,82.00327809142233,64.94701617401005,2.038192183167911
256,0.1,0.035,64,0.9,0.95,50,91.51338553997451,73.84272169548242,1.569537287605253
192,0.085,0.05,128,0.88,0.95,50,99.48643234383536,74.81873954266592,1.0853767710187645
128,0.12,0.05,64,0.88,0.95,50,89.81242032416682,70.30117122141662,1.8280225351080008
192,0.12,0.035,96,0.9,0.95,50,93.66599890730286,66.5504740658115,1.2835779909190124
384,0.1,0.05,64,0.88,0.95,50,88.12602440356947,68.44673731176799,1.7217398821252237
192,0.15,0.02,128,0.85,0.95,50,98.67419413585867,69.54824316787507,0.7499396030636855
128,0.07,0.02,96,0.9,0.95,50,98.80896011655436,69.81316229782487,0.9772066819109849
256,0.15,0.035,128,0.85,0.95,50,99.25332362046986,74.74902398215282,1.0082579527415598
192,0.15,0.035,64,0.88,0.95,50,74.86796576215625,60.19241494701617,2.1856923000162185
256,0.1,0.035,96,0.88,0.95,50,97.43580404297943,71.70942554378136,1.161045351364975
192,0.15,0.02,64,0.88,0.95,50,80.9907120743034,60.88957055214724,1.893365131172504
96,0.07,0.02,96,0.9,0.95,50,97.7271899471863,69.0462911321807,0.9026204276142328
128,0.15,0.02,128,0.88,0.95,50,94.97359315243125,65.72783045175683,1.0405912552363608
384,0.07,0.035,96,0.85,0.95,50,99.15498087780004,73.31288343558282,0.9547701957222045
384,0.085,0.035,64,0.85,0.95,50,98.14605718448371,76.57557166759621,1.2819910751104733
192,0.085,0.02,96,0.85,0.95,50,99.91622655254052,73.81483547127718,0.7172889147587554
256,0.085,0.05,64,0.88,0.95,50,93.2908395556365,71.70942554378136,1.643367015461866
384,0.12,0.035,128,0.85,0.95,50,98.42651611728283,74.5398773006135,0.8602565526462395
256,0.12,0.035,128,0.85,0.95,50,98.7179020214897,70.07808142777468,0.9753302948948422
96,0.15,0.02,64,0.85,0.95,50,94.31433254416316,69.22755158951477,1.2994235127801033
384,0.07,0.05,96,0.9,0.95,50,98.54307047896557,73.73117679866145,1.2136572491840576
128,0.1,0.05,128,0.88,0.95,50,97.78546712802768,71.65365309537088,1.2199878722754485
192,0.12,0.05,128,0.9,0.95,50,89.53924603897286,68.48856664807586,1.2684770161594137
384,0.07,0.02,96,0.9,0.95,50,99.89801493352759,75.78081427774679,0.7126815647441673
192,0.085,0.02,96,0.9,0.95,50,97.50500819522856,68.86503067484662,0.8970576580812729
96,0.085,0.035,128,0.88,0.95,50,95.32325623747951,67.58226436140546,1.1204460449269023
